run,group,direction,n_tokens,cjk,latin,cyrillic,thai,arabic,punctuation,whitespace,other
qwen3-32b_pca-jlens,control_apriori_axis,+arousal,12,0.8333,0.1667,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,control_apriori_axis,+valence,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,control_apriori_axis,-arousal,12,0.1667,0.0,0.0,0.0,0.0,0.25,0.5833,0.0
qwen3-32b_pca-jlens,control_apriori_axis,-valence,12,0.5833,0.4167,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,angry,12,0.8333,0.0,0.0833,0.0833,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,anxious,12,0.5,0.4167,0.0,0.0833,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,bored,12,0.5,0.1667,0.3333,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,calm,12,0.25,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0833
qwen3-32b_pca-jlens,gate_a_emotion_vector,content,12,0.5,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,ecstatic,12,0.9167,0.0,0.0,0.0833,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,elated,12,0.9167,0.0833,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,excited,12,0.8333,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,furious,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,gloomy,12,0.0,0.3333,0.0,0.0,0.0,0.25,0.4167,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,relaxed,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,sad,12,0.1667,0.25,0.0,0.0,0.0,0.3333,0.25,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,serene,12,0.25,0.1667,0.0,0.0,0.0,0.1667,0.3333,0.0833
qwen3-32b_pca-jlens,gate_a_emotion_vector,terrified,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,thrilled,12,0.75,0.1667,0.0,0.0833,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_a_emotion_vector,weary,12,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,+PC1,12,0.0833,0.0,0.0,0.0,0.0,0.25,0.5833,0.0833
qwen3-32b_pca-jlens,gate_b_pc,+PC2,12,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,+PC3,12,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,+PC4,12,0.0,0.6667,0.0,0.0,0.0,0.1667,0.1667,0.0
qwen3-32b_pca-jlens,gate_b_pc,+PC5,12,0.4167,0.1667,0.25,0.0,0.0,0.1667,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,-PC1,12,0.9167,0.0833,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,-PC2,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,-PC3,12,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,-PC4,12,0.6667,0.25,0.0,0.0,0.0,0.0833,0.0,0.0
qwen3-32b_pca-jlens,gate_b_pc,-PC5,12,0.0833,0.9167,0.0,0.0,0.0,0.0,0.0,0.0
